"","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%","OeFG%","OTOV%","ORB%","OFT/FGA","DeFG%","DTOV","DRB%","DFT/FGA","Attend./G"
"1","Milwaukee Bucks 20'",26,7,7,4,4,3,30,4,5,21,4,2,24,12,5,2,11,9,26,13,23,3,1,10
"2","Los Angeles Lakers 19'",30,3,2,6,5,5,4,3,11,28,5,11,6,22,9,5,22,4,15,7,3,7,16,9
"3","Toronto Raptors 18'",25,2,2,2,2,3,29,3,5,26,3,14,20,10,4,3,15,21,14,4,9,14,9,4
"4","Golden State Warriors '17",27,3,3,3,3,3,22,3,3,20,3,5,20,15,1,1,28,23,16,5,18,25,11,7
"5","Golden State Warriors 16'",26,1,1,1,1,1,22,1,1,29,1,4,20,6,1,1,19,18,21,1,7,29,11,8
"6","Cleveland Cavaliers 15'",24,3,3,4,4,4,30,4,3,21,4,27,22,3,4,3,13,9,23,12,20,5,14,2
"7","Golden State Warriors 14'",15,1,1,1,1,1,16,1,2,30,1,1,26,7,1,1,14,21,25,1,7,18,22,7
"8","San Antonio Spurs 13'",27,1,1,1,1,1,15,1,6,28,1,10,30,16,2,2,12,24,27,4,23,4,3,9
"9","Miami Heat 12'",29,1,1,2,2,2,30,2,2,22,2,23,8,5,1,1,12,26,6,9,4,23,13,3
"10","Miami Heat 11'",26,4,4,3,3,4,19,4,8,27,4,15,4,21,4,5,23,18,4,8,3,10,11,4
"11","Dallas Mavericks 10'",30,4,4,8,8,8,11,8,8,23,8,17,21,3,4,3,21,26,18,9,17,7,3,4
"12","Los Angeles Lakers 09'",26,3,3,5,5,6,10,5,11,27,6,14,19,12,16,15,5,7,18,6,18,9,2,7
"13","Los Angeles Lakers 08'",22,2,2,2,2,2,30,3,3,25,3,5,18,17,6,5,5,3,20,8,6,17,6,8
"14","Boston Celtics 07'",23,1,1,1,1,1,30,1,9,30,1,19,5,9,5,5,29,17,3,1,1,8,23,12
"15","San Antonio Spurs 06'",30,3,3,1,1,1,16,1,5,29,1,27,20,6,2,2,8,27,20,2,19,3,1,9
"16","Miami Heat 05'",29,5,5,5,5,5,27,6,7,21,6,11,6,10,2,2,18,17,15,10,29,1,17,4
"17","San Antonio Spurs 04'",28,2,2,1,1,1,15,1,8,30,1,23,12,11,11,6,12,12,21,1,5,3,11,9
"18","Detroit Pistons 03'",17,6,6,2,2,2,28,4,18,28,2,24,6,25,19,20,20,9,4,2,6,12,3,1
"19","San Antonio Spurs 02'",22,1,1,3,3,3,12,3,7,27,3,20,2,7,3,4,24,13,5,2,12,17,3,11
"20","Los Angeles Lakers 01'",17,2,2,2,2,2,13,2,2,23,2,6,7,7,7,4,2,16,14,1,20,8,21,8
"21","Los Angeles Lakers 00'",23,2,2,8,8,8,9,6,2,9,8,14,4,9,7,2,6,3,11,13,27,9,15,8
"22","Average",25,3,3,3,3,3,20,3,6,25,3,14,14,11,5,4,15,15,16,6,13,11,10,7
